# SESSION-2 PER-FILE DRIFT PARTITION — DERIVED AFTER CONTACT
# label	DERIVED AFTER CONTACT
# emitted_at_utc	2026-08-30T16:36:22Z
# purpose	Pass-2 raw material for the join, per the auditor's ruling §3 of claude/JOIN_MAPPING_RULING_AND_PATCH_DEFECT_2026-08-30.md
# parent	SESSION2_PER_FUNCTION_VERDICTS.tsv  sha256 6588bca59d538b77cd2c104ff323902fcf16f45bd2051530e55bd4803a1756e3  frozen 2026-08-30T16:22:20Z (BLIND)
#
# PROVENANCE — read this before using any column
#   E1 columns are lifted verbatim from out/census.json, written 2026-08-30 ~14:05Z, BEFORE this session had any
#     contact with Developer 1's vocabulary or list. Not recomputed here.
#   E3 columns are a RE-RUN of the same unmodified comparator (tool/bundle.py) over the same frozen inputs, executed
#     after contact solely because census.json stored per-file detail for E1 only. The re-run reproduces the frozen
#     bucket_vs_E3 column for all 71 functions exactly — regression check passed — so it adds detail, not verdicts.
#   No definition was changed. No threshold was tuned. This session has NOT seen Developer 1's per-function list.
#   The column e3_only_differing_file_is_secureHeaders implements the auditor's Pass-2 test verbatim; it is this
#     session's own answer to that test, computed without sight of the set it will be compared against.
#
# drift kinds	CONTENT_DIFFERS | WHITESPACE_ONLY | MISSING_IN_DEPLOYED | MISSING_IN_REPO. Files not listed are byte-identical.
# E1	b671e1fb0c5bcf145d442076c229eca888afd674  refs/heads/main (destination)
# E3	a42b209e4f70a6efed4f3dcdb654e0f994416594  true RC
#
function	bucket_E1	bucket_E3	deployed_files	e1_differing	e1_kinds	e3_differing	e3_kinds	e3_only_differing_file_is_secureHeaders
ad-reward-credit	MATCH	MATCH	1	-	-	-	-	no
admin-export-db	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
admin-process-withdrawal	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
admin-secure-settings	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
analyze-gallery-image	DRIFT	DRIFT	1	index.ts	CONTENT_DIFFERS	index.ts	CONTENT_DIFFERS	no
apply-scheduled-boosts	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
ask-anything	DRIFT	DRIFT	1	index.ts	CONTENT_DIFFERS	index.ts	CONTENT_DIFFERS	no
auth-email-hook	DRIFT	DRIFT	8	_shared/email-templates/email-change.tsx;_shared/email-templates/invite.tsx;_shared/email-templates/magic-link.tsx;_shared/email-templates/reauthentication.tsx;_shared/email-templates/recovery.tsx;_shared/email-templates/signup.tsx;index.ts	CONTENT_DIFFERS	_shared/email-templates/email-change.tsx;_shared/email-templates/invite.tsx;_shared/email-templates/magic-link.tsx;_shared/email-templates/reauthentication.tsx;_shared/email-templates/recovery.tsx;_shared/email-templates/signup.tsx;_shared/laneConfig.ts;index.ts	CONTENT_DIFFERS;MISSING_IN_DEPLOYED	no
autoscale-ad-traffic	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
backfill-image-dims	DRIFT	DRIFT	3	_shared/s3.ts;index.ts	CONTENT_DIFFERS	_shared/s3.ts;index.ts	CONTENT_DIFFERS	no
backfill-image-hashes	MATCH	MATCH	1	-	-	-	-	no
backfill-thumbnails	MATCH	DRIFT	1	-	-	index.ts	CONTENT_DIFFERS	no
backup-reminder	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
brevo-webhook	MATCH	MATCH	1	-	-	-	-	no
cast-photo-vote	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
complete-round	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
create-payment-session	MATCH	DRIFT	2	-	-	_shared/laneConfig.ts;_shared/secureHeaders.ts;index.ts	CONTENT_DIFFERS;MISSING_IN_DEPLOYED	no
dashboard-init	MATCH	DRIFT	2	-	-	_shared/secureHeaders.ts	CONTENT_DIFFERS	yes
delete-my-account	DRIFT	DRIFT	1	index.ts	CONTENT_DIFFERS	index.ts	CONTENT_DIFFERS	no
delete-user	DRIFT	DRIFT	1	index.ts	CONTENT_DIFFERS	index.ts	CONTENT_DIFFERS	no
detect-ai-image	DRIFT	DRIFT	1	index.ts	CONTENT_DIFFERS	index.ts	CONTENT_DIFFERS	no
